question_id,evaluation_group,question,gold_sql,baseline_generated_sql,repaired_generated_sql,before_EX,before_Inv,before_asa_strict,before_asa_lower_bound,before_fcr_hard_finding_codes,after_EX,after_Inv,after_asa_strict,after_asa_lower_bound,after_fcr_hard_finding_codes,verifier_caught,verifier_actionable,verifier_answers_question,verifier_mismatch_type,verifier_mismatch_detail,verifier_repair_hint,verifier_confidence,verifier_failed_evidence,repair_attempted,repair_generated,repair_status,repair_mode,repair_error,repair_edit_summary,repair_confidence,final_sql_repaired,missed_by_verifier,caught_but_not_actionable,actionable_but_not_attempted,attempted_but_no_sql,generated_but_inv_not_fixed,inv_fixed,fixed_but_ex_broken,fixed_and_ex_preserved,harmful_gate_accept,over_repair_candidate,primary_bottleneck
booksql_070829,A_correct_executable,Check the sales receipts record and compute the average quantities ordered with the payment method [payment_method].,"SELECT avg(quantity_per_transaction) FROM (select transaction_id, sum(quantity) as quantity_per_transaction from master_txn_table where transaction_type = 'sales receipt' and payment_method  =  ""[payment_method]"" group by transaction_id) ","SELECT AVG(Quantity) 
FROM master_txn_table 
WHERE payment_method = '[payment_method]'","SELECT AVG(Quantity) 
FROM master_txn_table 
WHERE payment_method = '[payment_method]'",1,,,0,[],1,,,0,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_070834,B_wrong_executable,Did we receive payment from Deborah Dixon partnership Last fiscal year?,"select transaction_id from master_txn_table where transaction_type = 'payment' and customers = ""Deborah Dixon"" and transaction_date BETWEEN date(current_date, '-3 months', 'start of year','-1 years', '+3 months') AND date(current_date, '-3 months', 'start of year','-1 years', '+3 months', '+1 years', '-1 days') ","SELECT COUNT(DISTINCT transaction_id) 
FROM master_txn_table 
WHERE Customers = 'Deborah Dixon partnership' 
  AND Transaction_DATE BETWEEN date('now','-1 year') AND date('now','-1 year');","SELECT COUNT(*) FROM master_txn_table WHERE Customers = 'Deborah Dixon partnership' AND Transaction_DATE BETWEEN date('now','-1 year') AND date('now','-1 year');",0,,0,0,[],0,,0,0,[],True,True,False,financial_measure_error,"The intent requires a boolean existence check regarding a payment received event, but the profile measures the count of distinct transaction IDs.","Check if the profile measures the correct financial measure, e.g., 'payment received' instead of 'count of distinct transaction IDs'.",high,"[""The intent requires a boolean existence check regarding a payment received event, but the profile measures the count of distinct transaction IDs.""]",True,True,success,semantic,,Changed COUNT(DISTINCT transaction_id) to COUNT(*) to measure the correct financial measure.,high,True,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_070842,A_correct_executable,Number of invoices created for Appearances and speeches in Last 30 days?,"select count(distinct transaction_id) from master_txn_table where transaction_type = 'invoice' and instr(account,""Appearances and speeches"") and transaction_date BETWEEN date( current_date, ""-30 days"") AND date( current_date) ","SELECT COUNT(DISTINCT Transaction_ID) 
FROM master_txn_table 
WHERE Product_Service IN ('Appearances', 'Speeches') 
  AND Transaction_DATE BETWEEN date('now','-30 days') AND date('now');","SELECT COUNT(DISTINCT Transaction_ID) 
FROM master_txn_table 
WHERE Product_Service IN ('Appearances', 'Speeches') 
  AND Transaction_DATE BETWEEN date('now','-30 days') AND date('now');",1,1,1,1,[],1,1,1,1,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_070850,A_correct_executable,What was the lowest invoice value for Manufacturing industrial organic gases in yesterday?,"select min(credit) from master_txn_table where transaction_type = 'invoice' and instr(account,""Manufacturing industrial organic gases"") and transaction_date BETWEEN date( current_date, ""-1 day"") AND date( current_date, ""-1 day"") ","SELECT MIN(Credit) AS lowest_invoice_value
FROM master_txn_table
WHERE Product_Service = 'Manufacturing industrial organic gases'
  AND Transaction_DATE = DATE('now', '-1 day');","SELECT MIN(Credit) AS lowest_invoice_value
FROM master_txn_table
WHERE Product_Service = 'Manufacturing industrial organic gases'
  AND Transaction_DATE = DATE('now', '-1 day');",1,1,1,1,[],1,1,1,1,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_070859,A_correct_executable,What was the mean bill Amanda Fry received from Robin Wright?,"select avg(credit) from master_txn_table where customers = ""Amanda Fry"" and transaction_type = 'bill' and vendor = ""Robin Wright""","SELECT AVG(T1.Balance) 
FROM customers AS T1 
JOIN master_txn_table AS T2 ON T1.id = T2.Customers 
WHERE T1.customer_full_name = 'Amanda Fry' AND T2.Vendor = 'Robin Wright';","SELECT AVG(T1.Balance) 
FROM customers AS T1 
JOIN master_txn_table AS T2 ON T1.id = T2.Customers 
WHERE T1.customer_full_name = 'Amanda Fry' AND T2.Vendor = 'Robin Wright';",1,1,1,1,[],1,1,1,1,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_070863,A_correct_executable,How many David Meza invoices are still oustanding?,"select count(distinct transaction_id) from master_txn_table where customers = ""David Meza"" and transaction_type = 'invoice' and open_balance>0","SELECT COUNT(*) 
FROM master_txn_table 
WHERE Customers = 'David Meza' AND AR_paid = 'No';","SELECT COUNT(*)
FROM master_txn_table
WHERE Customers = 'David Meza' AND AR_paid = 'No' AND Transaction_DATE <= date('now')",1,1,1,1,[],1,1,1,1,[],True,True,False,computation_logic_error,"The profile topology has group_by: 'none', but the intent requires grouping by a specific period.",Consider adding a grouping by period to the query to match the intent's requirement.,high,"[""The profile topology has group_by: 'none', but the intent requires grouping by a specific period.""]",True,True,success,semantic,,Added a temporal filter to check the current status of invoices.,high,True,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_070865,A_correct_executable,Check the sales receipts record and compute the average quantities ordered with the payment method [payment_method].,"SELECT avg(quantity_per_transaction) FROM (select transaction_id, sum(quantity) as quantity_per_transaction from master_txn_table where transaction_type = 'sales receipt' and payment_method  =  ""[payment_method]"" group by transaction_id) ","SELECT AVG(Quantity) 
FROM master_txn_table 
WHERE payment_method = '[payment_method]'","SELECT AVG(Quantity) 
FROM master_txn_table 
WHERE payment_method = '[payment_method]'",1,,,0,[],1,,,0,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_070869,A_correct_executable,How many Eucalyptus oil did we sell to Carmen Fisher This week?,"select sum(quantity) from master_txn_table where customers = ""Carmen Fisher"" and product_service = 'Eucalyptus oil' and transaction_type in ('invoice', 'sales receipt') and transaction_date BETWEEN date( current_date, ""weekday 0"", ""-7 days"") AND date( current_date) ","SELECT SUM(Quantity) 
FROM master_txn_table 
JOIN customers ON master_txn_table.Customers = customers.customer_name 
WHERE Product_Service = 'Eucalyptus oil' 
AND Customers = 'Carmen Fisher' 
AND Transaction_DATE BETWEEN date('now', 'weekday 0', '-7 days') AND date('now', 'weekday 0');","SELECT SUM(Quantity) AS units_sold FROM master_txn_table JOIN customers ON master_txn_table.Customers = customers.customer_name WHERE Product_Service = 'Eucalyptus oil' AND Customers = 'Carmen Fisher' AND Transaction_DATE BETWEEN date('now', 'weekday 0', '-7 days') AND date('now', 'weekday 0');",1,1,1,1,[],1,1,1,1,[],True,True,False,financial_measure_error,"The intent requires a count of units sold, but the profile measures 'quantity' with unit 'count'.","Consider using a unit of measure that matches the intent, such as 'units sold' instead of 'quantity with unit 'count''.",high,"[""The specific entity being counted (transactions vs. units sold) is not explicitly defined, but 'How many' suggests a count.""]",True,True,success,semantic,,Changed the aggregation measure to 'units sold' to match the intent.,high,True,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_070872,A_correct_executable,Check the sales receipts record and compute the average quantities ordered with the payment method [payment_method].,"SELECT avg(quantity_per_transaction) FROM (select transaction_id, sum(quantity) as quantity_per_transaction from master_txn_table where transaction_type = 'sales receipt' and payment_method  =  ""[payment_method]"" group by transaction_id) ","SELECT AVG(Quantity) 
FROM master_txn_table 
WHERE payment_method = '[payment_method]'","SELECT AVG(Quantity) 
FROM master_txn_table 
WHERE payment_method = '[payment_method]'",1,,,0,[],1,,,0,[],False,False,True,,,,high,[],False,False,skipped,,,,,False,False,False,False,False,False,False,False,False,False,False,not_primary_cohort
booksql_070887,A_correct_executable,How much did Christina Carroll spend on Accounts Receivable (A/R) in July during last year?,"select sum(debit) from master_txn_table  as T1 join chart_of_accounts as T2 on T1.account = T2.account_name where T1.customers = ""Christina Carroll"" and instr(account,""Accounts Receivable (A/R)"") and strftime(""%m"", transaction_date) = '07' and strftime(""%Y"", transaction_date) = strftime('%Y', current_date) - 1 and account_type in ('Expense','Other Expense')","SELECT SUM(Credit) 
FROM master_txn_table 
JOIN employees ON master_txn_table.businessID = employees.businessID 
WHERE employees.Employee_name = 'Christina Carroll' 
AND master_txn_table.Transaction_TYPE = 'A/R' 
AND strftime('%Y-%m', master_txn_table.Transaction_DATE) = strftime('%Y-%m', date('now', '-1 year')) || '-07';","SELECT SUM(Credit) 
FROM master_txn_table 
JOIN employees ON master_txn_table.businessID = employees.businessID 
WHERE employees.Employee_name = 'Christina Carroll' 
AND master_txn_table.Transaction_TYPE = 'A/R' 
AND strftime('%Y-%m', master_txn_table.Transaction_DATE) = strftime('%Y-%m', date('now', '-1 year')) || '-07';",1,0,0,0,"[""posting_side_reversal""]",1,0,0,0,"[""posting_side_reversal""]",False,False,True,,,,high,[],False,False,skipped,,,,,False,True,False,False,False,False,False,False,False,False,False,verifier_miss
